Dep_Code,Dep_Name,Annee,PROD,REND,SURF,culture,saison,prixMoyen,rend_euro_par_ha,NOM_REGION,CODE_REGION,NUMERO_DEPARTEMENT,MOIS,STOCKS
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,1,50
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,2,60
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,3,90
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,10,20
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,11,0
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Hiver (Stockage),123.89,1028.287,Ile-de-France,11,77,12,80
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,4,40
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,5,90
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,6,50
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,7,70
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,8,30
77,Seine-et-Marne,2010,1124799.4,83,135518,Blé tendre,Été (Récolte),207.0047692,1718.139585,Ile-de-France,11,77,9,30
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,1,60
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,2,60
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,3,0
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,10,10
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,11,30
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Hiver (Stockage),257.940625,2063.525,Ile-de-France,11,77,12,30
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,4,50
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,5,20
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,6,60
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,7,70
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,8,70
77,Seine-et-Marne,2011,1142976,80,142872,Blé tendre,Été (Récolte),204.2135385,1633.708308,Ile-de-France,11,77,9,60
